Country,CountryCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date,IncreaseConfirmed,IncreaseDeaths,IncreaseRecovered
Indonesia,ID,-0.79,113.92,0,0,0,0,1/22/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/23/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/24/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/25/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/26/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/27/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/28/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/29/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/30/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,1/31/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/1/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/2/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/3/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/4/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/5/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/6/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/7/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/8/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/9/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/10/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/11/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/12/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/13/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/14/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/15/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/16/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/17/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/18/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/19/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/20/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/21/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/22/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/23/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/24/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/25/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/26/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/27/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/28/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,2/29/2020,0,0,0
Indonesia,ID,-0.79,113.92,0,0,0,0,3/1/2020,0,0,0
Indonesia,ID,-0.79,113.92,2,0,0,0,3/2/2020,2,0,0
Indonesia,ID,-0.79,113.92,2,0,0,0,3/3/2020,0,0,0
Indonesia,ID,-0.79,113.92,2,0,0,0,3/4/2020,0,0,0
Indonesia,ID,-0.79,113.92,2,0,0,0,3/5/2020,0,0,0
Indonesia,ID,-0.79,113.92,4,0,0,0,3/6/2020,2,0,0
Indonesia,ID,-0.79,113.92,4,0,0,0,3/7/2020,0,0,0
Indonesia,ID,-0.79,113.92,6,0,0,0,3/8/2020,2,0,0
Indonesia,ID,-0.79,113.92,19,0,0,0,3/9/2020,13,0,0
Indonesia,ID,-0.79,113.92,27,0,2,0,3/10/2020,8,0,2
Indonesia,ID,-0.79,113.92,34,1,2,0,3/11/2020,7,1,0
Indonesia,ID,-0.79,113.92,34,1,2,0,3/12/2020,0,0,0
Indonesia,ID,-0.79,113.92,69,4,2,0,3/13/2020,35,3,0
Indonesia,ID,-0.79,113.92,96,5,8,0,3/14/2020,27,1,6
Indonesia,ID,-0.79,113.92,117,5,8,0,3/15/2020,21,0,0
Indonesia,ID,-0.79,113.92,134,5,8,0,3/16/2020,17,0,0
Indonesia,ID,-0.79,113.92,172,5,8,0,3/17/2020,38,0,0
Indonesia,ID,-0.79,113.92,227,19,11,0,3/18/2020,55,14,3
Indonesia,ID,-0.79,113.92,311,25,11,0,3/19/2020,84,6,0
Indonesia,ID,-0.79,113.92,369,32,15,0,3/20/2020,58,7,4
Indonesia,ID,-0.79,113.92,450,38,15,0,3/21/2020,81,6,0
Indonesia,ID,-0.79,113.92,514,48,29,0,3/22/2020,64,10,14
Indonesia,ID,-0.79,113.92,579,49,29,0,3/23/2020,65,1,0
Indonesia,ID,-0.79,113.92,686,55,30,0,3/24/2020,107,6,1
Indonesia,ID,-0.79,113.92,790,58,31,0,3/25/2020,104,3,1
Indonesia,ID,-0.79,113.92,893,78,35,0,3/26/2020,103,20,4
Indonesia,ID,-0.79,113.92,1046,87,46,0,3/27/2020,153,9,11
Indonesia,ID,-0.79,113.92,1155,102,59,0,3/28/2020,109,15,13
Indonesia,ID,-0.79,113.92,1285,114,64,0,3/29/2020,130,12,5
Indonesia,ID,-0.79,113.92,1414,122,75,0,3/30/2020,129,8,11
Indonesia,ID,-0.79,113.92,1528,136,81,0,3/31/2020,114,14,6
Indonesia,ID,-0.79,113.92,1677,157,103,0,4/1/2020,149,21,22
Indonesia,ID,-0.79,113.92,1790,170,112,0,4/2/2020,113,13,9
Indonesia,ID,-0.79,113.92,1986,181,134,0,4/3/2020,196,11,22
Indonesia,ID,-0.79,113.92,2092,191,150,0,4/4/2020,106,10,16
Indonesia,ID,-0.79,113.92,2273,198,164,0,4/5/2020,181,7,14
Indonesia,ID,-0.79,113.92,2491,209,192,0,4/6/2020,218,11,28
Indonesia,ID,-0.79,113.92,2738,221,204,0,4/7/2020,247,12,12
Indonesia,ID,-0.79,113.92,2956,240,222,0,4/8/2020,218,19,18
Indonesia,ID,-0.79,113.92,3293,280,252,0,4/9/2020,337,40,30
Indonesia,ID,-0.79,113.92,3512,306,282,0,4/10/2020,219,26,30
Indonesia,ID,-0.79,113.92,3842,327,286,0,4/11/2020,330,21,4
Indonesia,ID,-0.79,113.92,4241,373,359,0,4/12/2020,399,46,73
Indonesia,ID,-0.79,113.92,4557,399,380,0,4/13/2020,316,26,21
Indonesia,ID,-0.79,113.92,4839,459,426,0,4/14/2020,282,60,46
Indonesia,ID,-0.79,113.92,5136,469,446,0,4/15/2020,297,10,20
