Provinsi,Confirmed,Recovered,Deaths,Active cases,updateUnix,updateDate,updateTime,latitude,longitude,logo
Jakarta,2474,164,242,2068,1.58697E+12,4/15/2020,10:59.7,-6.211544,106.845172,https://pngimage.net/wp-content/uploads/2018/06/logo-provinsi-kalimantan-selatan-png.png
West Java,559,23,52,484,1.58697E+12,4/15/2020,10:59.7,-7.090911,107.668887,https://upload.wikimedia.org/wikipedia/commons/e/ee/Coat_of_arms_of_Riau_Islands.png
East Java,499,81,45,373,1.58697E+12,4/15/2020,10:59.7,-7.5360639,112.2384017,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Coat_of_arms_of_North_Maluku.png/1200px-Coat_of_arms_of_North_Maluku.png
Central Java,292,19,27,246,1.58697E+12,4/15/2020,10:59.7,-7.150975,110.1402594,https://upload.wikimedia.org/wikipedia/commons/d/de/Coat_of_Arms_of_Papua.png
Banten,281,7,25,249,1.58697E+12,4/15/2020,10:59.7,-6.4058172,106.0640179,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Coat_of_arms_of_Southeast_Sulawesi.svg/1200px-Coat_of_arms_of_Southeast_Sulawesi.svg.png
South Sulawesi,242,42,15,185,1.58697E+12,4/15/2020,10:59.7,-3.6687994,119.9740534,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Coat_of_arms_of_East_Kalimantan.svg/1200px-Coat_of_arms_of_East_Kalimantan.svg.png
Bali,98,23,2,73,1.58697E+12,4/15/2020,10:59.7,-8.4095178,115.188916,https://upload.wikimedia.org/wikipedia/commons/b/b9/Lampung_coa.png
North Sumatera,78,10,9,59,1.58697E+12,4/15/2020,10:59.7,2.1153547,99.5450974,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Coat_of_arms_of_West_Sumatra.svg/1200px-Coat_of_arms_of_West_Sumatra.svg.png
Papua,75,5,3,67,1.58697E+12,4/15/2020,10:59.7,-4.269928,138.0803529,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Coat_of_arms_of_Aceh.svg/1200px-Coat_of_arms_of_Aceh.svg.png
Yogyakarta,62,18,7,37,1.58697E+12,4/15/2020,10:59.7,-7.8753849,110.4262088,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Coat_of_arms_of_North_Sumatra.svg/1200px-Coat_of_arms_of_North_Sumatra.svg.png
West Sumatra,55,8,4,43,1.58697E+12,4/15/2020,10:59.7,-0.7399397,100.8000051,https://upload.wikimedia.org/wikipedia/commons/8/81/Coat_of_arms_of_West_Sulawesi.png
South Kalimantan,49,3,6,40,1.58697E+12,4/15/2020,10:59.7,-3.0926415,115.2837585,https://2.bp.blogspot.com/-y0bGVkW2XfY/Tdui2omcCgI/AAAAAAAADro/Ufjlj4w8nhs/s1600/logo+Jambi.png
